collector_id,display_name,home_city,preferred_language,literacy_tier,active_days_per_month,total_lots_transacted,total_weight_kg,gross_earnings_platform_inr,informal_benchmark_inr,earnings_paid_inr,earnings_pending_inr,uplift_vs_informal_inr,uplift_pct
COL2018,Shabana Nikam,Pune,mr,non_reader,19,82,3122.8,396905.19,354055.04,312512.58,84392.61,42850.15,12.1
COL2019,Arjun Mane,Mumbai,mr,functional,17,32,915.5,116178.71,98876.91,93959.71,22219.0,17301.8,17.5
COL2020,Firoz Nikam,Mumbai,mr,numerals_only,11,126,4285.4,589770.13,518887.12,373506.42,216263.71,70883.01,13.66
COL2021,Rakesh Bansode,Nagpur,hi,numerals_only,24,14,392.0,32464.59,27199.65,29752.06,2712.53,5264.94,19.36
COL2022,Sindhu More,Pune,other,functional,19,41,1254.5,187185.3,154576.19,180199.46,6985.84,32609.11,21.1
COL2023,Sunil Khan,Mumbai,mr,numerals_only,18,5,157.4,10215.35,8877.86,8003.77,2211.58,1337.49,15.07
COL2024,Rakesh Kumar,Mumbai,hi,numerals_only,21,12,247.7,16779.19,15726.08,11024.64,5754.55,1053.11,6.7
COL2025,Balu Jadhav,Nagpur,hi,non_reader,20,26,912.6,245295.92,207269.89,218344.64,26951.28,38026.03,18.35
COL2026,Rekha Yadav,Pimpri-Chinchwad,mr,numerals_only,17,34,975.0,105268.44,88308.87,91299.2,13969.24,16959.57,19.2
COL2027,Vikas Sawant,Mumbai,hi,non_reader,14,15,531.5,44606.12,39268.54,39175.15,5430.97,5337.58,13.59
COL2028,Prakash Nikam,Nagpur,other,numerals_only,15,5,127.0,6982.51,5613.1,5734.63,1247.88,1369.41,24.4
COL2029,Nitin Bansode,Aurangabad,mr,numerals_only,11,20,626.6,53684.6,46267.87,49751.12,3933.48,7416.73,16.03
COL2030,Manoj Qureshi,Pune,mr,numerals_only,16,43,1374.7,207362.75,187046.91,112704.28,94658.47,20315.84,10.86
COL2031,Sagar Waghmare,Pune,hi,non_reader,20,160,4831.0,485490.99,425591.67,390658.28,94832.71,59899.32,14.07
COL2032,Anita Yadav,Pune,hi,non_reader,25,13,515.1,94247.01,84344.06,76417.18,17829.83,9902.95,11.74
COL2033,Sunil Bansode,Mumbai,mr,numerals_only,25,6,193.0,44310.45,40181.19,1032.82,43277.63,4129.26,10.28
COL2034,Dattatray Shinde,Nashik,mr,non_reader,18,18,596.8,85173.13,70453.99,76262.4,8910.73,14719.14,20.89
COL2035,Manoj Khan,Pune,mr,numerals_only,18,8,260.9,51239.17,44016.51,17460.98,33778.19,7222.66,16.41
COL2036,Salim Tambe,Nashik,hi,functional,12,6,165.9,107797.19,90899.58,107797.19,0.0,16897.61,18.59
COL2037,Sanjay Sawant,Nagpur,mr,functional,28,5,67.7,2701.25,2426.18,2701.25,0.0,275.07,11.34
COL2038,Sagar Lokhande,Nagpur,mr,non_reader,18,65,2029.3,397675.98,325320.9,358910.68,38765.3,72355.08,22.24
COL2039,Imran Pawar,Mumbai,mr,numerals_only,19,15,437.5,82457.28,72369.22,61416.07,21041.21,10088.06,13.94
COL2040,Sunil Ansari,Nashik,other,numerals_only,21,359,11015.7,1313120.63,1145620.86,985082.43,328038.2,167499.77,14.62
COL2041,Firoz Deshmukh,Pune,other,functional,18,68,2221.1,311275.62,269713.8,199764.52,111511.1,41561.82,15.41
COL2042,Ujwala Rathod,Nagpur,hi,numerals_only,17,39,1089.3,84820.47,72554.64,63292.12,21528.35,12265.83,16.91
COL2043,Munna More,Pune,mr,functional,14,29,782.8,89494.9,71126.09,67166.89,22328.01,18368.81,25.83
COL2044,Munna Chavan,Pimpri-Chinchwad,hi,functional,14,17,431.5,37499.28,30963.76,36254.21,1245.07,6535.52,21.11
COL2045,Sanjay Ghorpade,Pune,hi,numerals_only,16,54,1727.3,328444.48,281085.39,287654.82,40789.66,47359.09,16.85
COL2046,Vaishali Shinde,Nagpur,mr,numerals_only,22,71,2239.1,224792.01,195436.97,190789.61,34002.4,29355.04,15.02
COL2047,Sagar Nikam,Pune,mr,numerals_only,28,125,3891.0,478015.51,413814.38,389382.91,88632.6,64201.13,15.51
COL2048,Sanjay Bhosale,Mumbai,mr,non_reader,22,16,612.2,58591.14,54132.45,41101.49,17489.65,4458.69,8.24
COL2049,Deepak Gaikwad,Pune,other,functional,20,14,502.9,56704.02,50380.68,50611.46,6092.56,6323.34,12.55
COL2050,Suresh Salunkhe,Aurangabad,mr,non_reader,26,20,538.3,69580.46,59131.34,61553.89,8026.57,10449.12,17.67
COL2051,Firoz Rathod,Mumbai,mr,functional,23,27,711.8,106201.94,88377.8,46211.61,59990.33,17824.14,20.17
COL2052,Kavita Kamble,Pune,mr,numerals_only,18,11,431.3,62884.54,55877.9,13979.26,48905.28,7006.64,12.54
COL2053,Rahul More,Pimpri-Chinchwad,mr,numerals_only,17,27,646.6,117590.28,101365.8,99084.08,18506.2,16224.48,16.01
COL2054,Bhaskar Jadhav,Mumbai,hi,functional,12,10,245.7,44913.02,38097.7,39344.22,5568.8,6815.32,17.89
COL2055,Imran Nikam,Mumbai,mr,functional,22,12,457.5,78925.84,68969.76,37446.42,41479.42,9956.08,14.44
COL2056,Suresh Qureshi,Pune,mr,numerals_only,15,90,3214.5,362111.74,300097.46,299163.77,62947.97,62014.28,20.66
COL2057,Rakesh Bhosale,Pune,mr,functional,23,34,682.8,134995.38,117817.88,112419.67,22575.71,17177.5,14.58
COL2058,Rakesh More,Nashik,hi,non_reader,17,16,475.3,48554.93,43518.9,31015.89,17539.04,5036.03,11.57
COL2059,Manoj Qureshi,Mumbai,hi,non_reader,15,17,393.4,50509.3,40375.47,13983.91,36525.39,10133.83,25.1
COL2060,Rukhsana Lokhande,Mumbai,other,numerals_only,12,10,132.3,27088.23,21923.41,22294.21,4794.02,5164.82,23.56
COL2061,Anita Ghorpade,Mumbai,mr,functional,15,14,268.2,44810.13,39169.47,39161.46,5648.67,5640.66,14.4
COL2062,Sandeep Sawant,Mumbai,mr,functional,13,57,1496.5,312543.75,274546.42,219910.69,92633.06,37997.33,13.84
COL2063,Rahul Yadav,Nashik,mr,numerals_only,24,47,1351.7,137067.46,120848.6,99323.73,37743.73,16218.86,13.42
COL2064,Rakesh Dhage,Mumbai,mr,non_reader,19,13,319.5,25676.99,21928.25,22125.9,3551.09,3748.74,17.1
COL2065,Rahul Ingle,Pune,hi,functional,22,42,1211.1,147946.12,126138.01,133220.85,14725.27,21808.11,17.29
COL2066,Kavita Nikam,Mumbai,mr,non_reader,25,9,448.7,52489.15,47001.14,41164.24,11324.91,5488.01,11.68
COL2067,Nitin Ingle,Pune,mr,numerals_only,19,11,387.0,42541.87,39580.05,42541.87,0.0,2961.82,7.48
COL2068,Vikas Rathod,Nashik,mr,numerals_only,20,19,410.0,153917.31,124723.86,44227.7,109689.61,29193.45,23.41
COL2069,Salim Gaikwad,Pimpri-Chinchwad,hi,numerals_only,10,17,509.5,49048.66,44301.9,31362.57,17686.09,4746.76,10.71
COL2070,Laxmi Deshmukh,Pune,mr,numerals_only,17,7,230.9,45854.6,41755.15,28323.99,17530.61,4099.45,9.82
COL2071,Tukaram More,Pune,hi,functional,26,71,2076.2,182366.95,165942.79,133256.79,49110.16,16424.16,9.9
COL2072,Rahul Gaikwad,Nashik,hi,functional,23,12,381.0,29312.81,26179.93,27225.43,2087.38,3132.88,11.97
COL2073,Sanjay Waghmare,Nagpur,mr,non_reader,21,60,1798.7,345952.92,287505.49,252516.06,93436.86,58447.43,20.33
COL2074,Kailas Jadhav,Mumbai,mr,non_reader,25,26,877.5,138524.77,115261.41,77489.78,61034.99,23263.36,20.18
COL2075,Sarika Jadhav,Mumbai,mr,non_reader,17,6,154.9,15915.78,13220.94,8376.13,7539.65,2694.84,20.38
COL2076,Deepak Shaikh,Mumbai,hi,functional,23,7,273.1,62883.77,49719.53,62883.77,0.0,13164.24,26.48
COL2077,Ashok Pawar,Mumbai,hi,numerals_only,18,13,451.5,140470.71,122423.54,134579.98,5890.73,18047.17,14.74
COL2078,Rakesh Qureshi,Mumbai,mr,functional,10,14,316.0,53184.57,41671.39,42862.59,10321.98,11513.18,27.63
COL2079,Sunita Pawar,Aurangabad,mr,numerals_only,23,13,210.6,19577.07,17511.33,11138.67,8438.4,2065.74,11.8
COL2080,Pandurang Dhage,Pimpri-Chinchwad,other,non_reader,21,17,334.1,47299.26,46496.34,43551.79,3747.47,802.92,1.73
COL2081,Rahul Dhage,Nashik,hi,non_reader,13,17,403.8,100202.42,84305.72,95362.11,4840.31,15896.7,18.86
COL2082,Sanjay Deshmukh,Pimpri-Chinchwad,other,numerals_only,17,18,328.5,36085.48,31410.62,30150.67,5934.81,4674.86,14.88
COL2083,Sarika Khan,Pune,mr,functional,24,28,635.3,79590.29,64351.83,75548.34,4041.95,15238.46,23.68
COL2084,Kailas Shinde,Aurangabad,hi,numerals_only,21,51,1617.9,218419.97,197234.55,160840.04,57579.93,21185.42,10.74
COL2085,Pandurang Lokhande,Mumbai,mr,non_reader,20,20,311.2,43381.35,36565.73,33819.41,9561.94,6815.62,18.64
COL2086,Prakash Ansari,Aurangabad,mr,non_reader,17,34,798.4,102981.25,83406.76,95707.89,7273.36,19574.49,23.47
COL2087,Manoj Gaikwad,Nashik,mr,numerals_only,19,5,267.3,22208.87,22539.53,21255.27,953.6,-330.66,-1.47
COL2088,Sunil Sonawane,Nagpur,other,numerals_only,20,44,1347.2,206590.29,167773.43,130753.96,75836.33,38816.86,23.14
COL2089,Vaishali Ansari,Nagpur,mr,functional,16,11,349.5,40410.4,36186.77,27590.28,12820.12,4223.63,11.67
COL2090,Ramesh Shaikh,Pune,mr,numerals_only,27,14,563.6,52410.08,44540.02,49175.54,3234.54,7870.06,17.67
COL2091,Prakash Salunkhe,Mumbai,mr,functional,17,18,644.0,86036.33,78020.3,70313.48,15722.85,8016.03,10.27
COL2092,Rahul Salunkhe,Pimpri-Chinchwad,mr,non_reader,26,22,629.6,121774.97,104328.21,76379.07,45395.9,17446.76,16.72
COL2093,Prakash Bansode,Pune,hi,non_reader,21,5,285.8,47285.85,46226.16,46790.13,495.72,1059.69,2.29
COL2094,Prakash Shinde,Mumbai,hi,functional,17,14,345.8,26156.72,22498.03,21643.92,4512.8,3658.69,16.26
COL2095,Rakesh Ingle,Nashik,mr,numerals_only,11,10,252.5,27807.87,23891.45,17735.73,10072.14,3916.42,16.39
COL2096,Sandeep Yadav,Mumbai,hi,functional,21,23,586.5,48100.95,43686.18,34555.35,13545.6,4414.77,10.11
COL2097,Rahul Shinde,Nashik,mr,numerals_only,14,19,343.1,42630.34,36701.46,27638.36,14991.98,5928.88,16.15
COL2098,Rahul Kamble,Pune,mr,non_reader,23,43,1606.3,280342.0,221582.36,201660.9,78681.1,58759.64,26.52
COL2099,Manoj Sonawane,Pimpri-Chinchwad,mr,non_reader,19,41,1268.5,124169.82,111549.42,97036.82,27133.0,12620.4,11.31
COL2100,Pandurang Mane,Mumbai,mr,non_reader,24,7,408.5,32085.46,29056.52,25946.15,6139.31,3028.94,10.42
COL2101,Vaishali Kamble,Nagpur,hi,numerals_only,28,12,410.6,28119.96,26367.71,15615.43,12504.53,1752.25,6.65
COL2102,Prakash Mane,Mumbai,hi,functional,12,79,2278.5,328447.5,315238.82,297068.11,31379.39,13208.68,4.19
COL2103,Salim Salunkhe,Nagpur,other,numerals_only,15,11,297.0,14433.05,13302.67,13380.17,1052.88,1130.38,8.5
COL2104,Mahesh Sawant,Pune,hi,numerals_only,21,13,370.2,31866.35,28455.61,25698.38,6167.97,3410.74,11.99
COL2105,Ujwala Bansode,Pune,hi,numerals_only,19,23,488.0,72162.42,63066.57,45932.06,26230.36,9095.85,14.42
COL2106,Sarika Tambe,Nashik,mr,numerals_only,19,4,90.2,31125.6,25239.57,31125.6,0.0,5886.03,23.32
COL2107,Tukaram Jadhav,Mumbai,other,functional,28,6,238.9,23848.5,20130.07,23734.82,113.68,3718.43,18.47
COL2108,Bhaskar Nikam,Mumbai,mr,functional,16,20,536.8,93599.42,82253.34,77981.17,15618.25,11346.08,13.79
COL2109,Bhaskar Shinde,Mumbai,other,numerals_only,26,14,484.6,43812.33,37104.54,40574.22,3238.11,6707.79,18.08
COL2110,Shankar Bhosale,Pune,mr,non_reader,22,13,315.0,30058.9,28380.47,20773.55,9285.35,1678.43,5.91
COL2111,Imran Lokhande,Pimpri-Chinchwad,hi,functional,12,63,2025.4,224163.2,168302.74,189351.09,34812.11,55860.46,33.19
COL2112,Dattatray Kamble,Nashik,hi,numerals_only,14,77,2095.7,183408.53,157278.22,146858.93,36549.6,26130.31,16.61
COL2113,Ravi Dhage,Nashik,mr,functional,17,21,638.3,102874.04,100305.66,89947.91,12926.13,2568.38,2.56
COL2114,Rahul Ansari,Pune,mr,non_reader,17,17,366.9,37806.96,31997.03,36627.73,1179.23,5809.93,18.16
COL2115,Tukaram Jadhav,Aurangabad,mr,numerals_only,23,30,738.1,117289.45,67542.03,107805.3,9484.15,49747.42,73.65
COL2116,Bhaskar More,Pune,hi,non_reader,22,13,349.1,18999.6,16688.43,13314.99,5684.61,2311.17,13.85
COL2117,Tukaram Waghmare,Nagpur,hi,numerals_only,26,5,62.7,3268.89,2753.54,1653.82,1615.07,515.35,18.72
COL2118,Vikas Khan,Mumbai,mr,functional,17,18,794.8,86087.71,74657.27,73883.48,12204.23,11430.44,15.31
COL2119,Salim Kamble,Pune,mr,functional,24,22,512.3,69931.87,63978.79,57020.0,12911.87,5953.08,9.3
COL2120,Vikas Bansode,Mumbai,hi,non_reader,16,23,654.7,98804.67,82574.02,82557.67,16247.0,16230.65,19.66
COL2121,Prakash Mane,Pune,mr,functional,16,10,374.2,39902.95,34678.1,36773.96,3128.99,5224.85,15.07
COL2122,Rakesh Pawar,Mumbai,mr,numerals_only,12,24,811.1,74102.15,64501.39,51832.92,22269.23,9600.76,14.88
COL2123,Dattatray Jadhav,Pune,other,non_reader,12,14,521.2,68053.95,59589.46,32331.73,35722.22,8464.49,14.2
COL2124,Ravi Yadav,Pune,mr,functional,18,9,139.0,11983.09,10188.43,9938.12,2044.97,1794.66,17.61
COL2125,Ganesh Mane,Nagpur,mr,functional,22,14,512.3,129491.99,106183.51,121923.7,7568.29,23308.48,21.95
COL2126,Rakesh Gaikwad,Nashik,mr,numerals_only,15,14,546.8,31437.43,27855.02,28626.91,2810.52,3582.41,12.86
COL2127,Dattatray Rathod,Nashik,other,numerals_only,22,14,460.4,118287.82,96428.71,114360.84,3926.98,21859.11,22.67
COL2128,Ravi Ansari,Pune,mr,non_reader,9,19,380.5,74364.28,65044.39,66578.85,7785.43,9319.89,14.33
COL2129,Nanda Kumar,Pune,mr,numerals_only,27,134,3835.6,449767.56,399380.94,388789.05,60978.51,50386.62,12.62
COL2130,Ramesh Deshmukh,Nashik,hi,non_reader,25,11,253.7,30790.48,26685.08,27185.68,3604.8,4105.4,15.38
COL2131,Sunil Lokhande,Pune,mr,non_reader,18,23,737.1,135780.79,114709.24,132743.36,3037.43,21071.55,18.37
COL2132,Mahesh Ingle,Nashik,mr,functional,15,70,1946.1,207750.05,184479.1,169170.15,38579.9,23270.95,12.61
COL2133,Anita Ghorpade,Mumbai,mr,numerals_only,13,7,63.9,11782.39,9965.23,2342.99,9439.4,1817.16,18.24
COL2134,Ravi Tambe,Aurangabad,hi,numerals_only,19,22,406.4,41839.53,35671.51,29426.9,12412.63,6168.02,17.29
COL2135,Sagar Tambe,Mumbai,hi,non_reader,17,43,1137.0,98215.29,85699.64,74281.74,23933.55,12515.65,14.6
COL2136,Mahesh Shinde,Mumbai,hi,functional,11,19,572.1,37186.39,31623.98,27743.94,9442.45,5562.41,17.59
COL2137,Rahul Salunkhe,Nashik,mr,non_reader,5,17,564.0,58319.69,54849.29,22527.97,35791.72,3470.4,6.33
COL2138,Nitin Dhage,Pune,hi,non_reader,19,27,662.5,126656.82,102933.77,73460.57,53196.25,23723.05,23.05
COL2139,Arjun Deshmukh,Mumbai,mr,functional,14,2592,77129.1,11070927.94,9404464.2,8147946.44,2922981.5,1666463.74,17.72
COL2140,Sagar Sawant,Pune,mr,functional,14,108,3755.9,406443.47,347107.67,268037.35,138406.12,59335.8,17.09
COL2141,Shankar Deshmukh,Aurangabad,mr,functional,10,25,699.7,173893.19,131950.45,167667.68,6225.51,41942.74,31.79
COL2142,Sindhu Mane,Pimpri-Chinchwad,hi,functional,16,8,212.9,55157.37,45613.68,51073.25,4084.12,9543.69,20.92
COL2143,Munna Shaikh,Pune,mr,numerals_only,18,110,3172.5,361611.66,306132.51,291758.17,69853.49,55479.15,18.12
COL2144,Shabana Pawar,Nashik,mr,non_reader,18,26,782.6,160548.3,136502.41,146984.24,13564.06,24045.89,17.62
COL2145,Nanda Sawant,Mumbai,hi,non_reader,10,11,275.9,42441.29,36307.55,19358.19,23083.1,6133.74,16.89
COL2146,Ashok Salunkhe,Pimpri-Chinchwad,mr,numerals_only,17,6,58.7,21552.66,17124.28,333.89,21218.77,4428.38,25.86
COL2147,Bhaskar Rathod,Pune,hi,numerals_only,23,10,172.6,20059.83,17708.68,14509.32,5550.51,2351.15,13.28
COL2148,Jyoti Kamble,Nagpur,mr,numerals_only,22,14,361.4,78124.96,61364.43,70317.38,7807.58,16760.53,27.31
COL2149,Mahesh Waghmare,Nashik,mr,numerals_only,22,18,520.9,54851.62,47825.58,26244.56,28607.06,7026.04,14.69
COL2150,Munna Khan,Aurangabad,mr,numerals_only,20,7,398.6,22712.46,18333.83,14523.6,8188.86,4378.63,23.88
COL2151,Sindhu Khan,Nagpur,hi,numerals_only,24,54,1395.2,126820.29,106356.71,93479.71,33340.58,20463.58,19.24
COL2152,Suresh Mane,Nashik,hi,functional,18,13,365.6,141977.89,115225.12,135219.45,6758.44,26752.77,23.22
COL2153,Arjun Lokhande,Aurangabad,mr,functional,22,6,178.1,24350.61,25955.83,24350.61,0.0,-1605.22,-6.18
COL2154,Ramesh Pawar,Nashik,mr,numerals_only,27,5,58.7,3745.49,3347.7,1572.54,2172.95,397.79,11.88
COL2155,Sindhu Ansari,Nagpur,hi,non_reader,24,16,456.5,37980.57,31193.0,25854.82,12125.75,6787.57,21.76
COL2156,Jyoti Dhage,Pune,mr,non_reader,19,37,1182.4,151893.41,130789.34,121319.16,30574.25,21104.07,16.14
COL2157,Nitin Rathod,Nashik,mr,numerals_only,15,25,1029.0,139881.55,119922.82,121262.55,18619.0,19958.73,16.64
COL2158,Rahul More,Pune,hi,non_reader,19,17,644.7,56846.14,60458.78,54086.5,2759.64,-3612.64,-5.98
COL2159,Shabana Gaikwad,Aurangabad,hi,non_reader,24,7,219.4,24884.78,37957.85,21364.84,3519.94,-13073.07,-34.44
COL2160,Deepak Salunkhe,Nagpur,mr,numerals_only,15,7,202.4,6148.7,5075.5,5896.88,251.82,1073.2,21.14
COL2161,Sarika Sawant,Pimpri-Chinchwad,other,numerals_only,19,18,522.5,149376.28,126584.24,76820.98,72555.3,22792.04,18.01
COL2162,Rekha Rathod,Nashik,mr,non_reader,28,15,415.2,101921.23,82065.49,80500.45,21420.78,19855.74,24.19
COL2163,Sarika Shinde,Aurangabad,mr,numerals_only,24,28,840.5,46407.15,42815.59,32635.74,13771.41,3591.56,8.39
COL2164,Sunita Kamble,Mumbai,other,numerals_only,20,26,872.2,61613.9,52538.12,46132.52,15481.38,9075.78,17.27
COL2165,Nitin Shinde,Pimpri-Chinchwad,mr,numerals_only,14,83,2378.8,350321.94,292000.86,282896.24,67425.7,58321.08,19.97
COL2166,Rakesh Kamble,Mumbai,mr,numerals_only,20,6,176.4,7303.98,6739.04,6808.14,495.84,564.94,8.38
COL2167,Arjun Shinde,Mumbai,hi,non_reader,18,4,128.3,9291.87,7886.32,4831.63,4460.24,1405.55,17.82
COL2168,Manoj Lokhande,Pimpri-Chinchwad,mr,numerals_only,18,212,6128.5,765846.24,683371.05,575025.03,190821.21,82475.19,12.07
COL2169,Suresh Waghmare,Mumbai,hi,numerals_only,21,13,310.0,58512.09,49787.82,48743.19,9768.9,8724.27,17.52
COL2170,Vikas Lokhande,Nagpur,mr,numerals_only,28,7,204.5,14403.65,12732.69,5611.33,8792.32,1670.96,13.12
COL2171,Firoz Tambe,Mumbai,hi,numerals_only,19,23,838.0,71049.02,64210.89,58589.7,12459.32,6838.13,10.65
COL2172,Ravi Deshmukh,Mumbai,mr,numerals_only,20,17,470.4,97703.27,79742.54,52008.95,45694.32,17960.73,22.52
COL2173,Vitthal Bhosale,Mumbai,hi,numerals_only,25,6,221.3,60763.2,49116.46,56060.31,4702.89,11646.74,23.71
COL2174,Nitin Lokhande,Mumbai,mr,functional,18,36,1213.7,138748.51,120827.75,112574.43,26174.08,17920.76,14.83
COL2175,Kailas Qureshi,Pimpri-Chinchwad,hi,numerals_only,28,6,453.2,27630.16,25255.78,18846.15,8784.01,2374.38,9.4
COL2176,Vitthal Mane,Mumbai,mr,numerals_only,22,21,660.3,104171.37,82522.35,81794.92,22376.45,21649.02,26.23
COL2177,Rukhsana Nikam,Nashik,mr,functional,20,8,277.3,27011.68,24135.28,24460.56,2551.12,2876.4,11.92
COL2178,Tukaram Gaikwad,Pune,mr,numerals_only,15,10,175.6,35870.29,26534.84,28700.64,7169.65,9335.45,35.18
COL2179,Salim Dhage,Pune,other,numerals_only,16,13,395.9,41722.41,35811.77,40042.78,1679.63,5910.64,16.5
COL2180,Salim Yadav,Nashik,hi,non_reader,8,6,130.9,31121.97,27733.71,8979.48,22142.49,3388.26,12.22
COL2181,Ramesh Yadav,Nashik,mr,numerals_only,16,21,408.6,39301.02,33505.14,24295.18,15005.84,5795.88,17.3
COL2182,Bhaskar Tambe,Pune,mr,numerals_only,23,17,492.5,172205.54,147011.09,130879.66,41325.88,25194.45,17.14
COL2183,Laxmi Pawar,Nashik,mr,functional,22,8,213.6,43509.4,37549.38,16899.21,26610.19,5960.02,15.87
COL2184,Anita Ingle,Mumbai,hi,numerals_only,11,17,509.6,65945.75,59723.25,21130.89,44814.86,6222.5,10.42
COL2185,Tukaram Ansari,Nashik,mr,functional,18,55,1819.8,199999.45,173687.74,114395.52,85603.93,26311.71,15.15
COL2186,Kailas Kamble,Nashik,mr,numerals_only,19,18,519.3,111542.6,87068.98,93362.77,18179.83,24473.62,28.11
COL2187,Mahesh Khan,Pune,mr,numerals_only,25,13,545.0,55252.91,47536.06,53890.4,1362.51,7716.85,16.23
COL2188,Anita Mane,Mumbai,mr,numerals_only,15,20,734.9,203290.25,156579.8,192737.47,10552.78,46710.45,29.83
COL2189,Salim Jadhav,Aurangabad,hi,non_reader,20,10,235.0,13889.5,13151.67,10925.04,2964.46,737.83,5.61
COL2190,Pandurang Pawar,Mumbai,mr,non_reader,14,15,306.1,18451.6,15602.71,17047.74,1403.86,2848.89,18.26
COL2191,Rakesh Qureshi,Pimpri-Chinchwad,mr,numerals_only,28,23,592.1,59619.39,51771.03,58782.79,836.6,7848.36,15.16
COL2192,Manoj Kamble,Pune,hi,numerals_only,26,35,1198.5,123936.03,105679.07,100427.6,23508.43,18256.96,17.28
COL2193,Tukaram Pawar,Mumbai,mr,functional,20,17,548.4,82025.88,76890.65,38556.07,43469.81,5135.23,6.68
COL2194,Mahesh Deshmukh,Nagpur,hi,non_reader,22,32,1196.7,137138.8,119709.76,98999.76,38139.04,17429.04,14.56
COL2195,Balu Nikam,Pimpri-Chinchwad,mr,non_reader,24,13,429.7,39924.89,36444.53,35272.24,4652.65,3480.36,9.55
COL2196,Ravi Gaikwad,Mumbai,other,numerals_only,23,11,220.5,10900.45,9565.54,8981.81,1918.64,1334.91,13.96
COL2197,Shankar Shinde,Pimpri-Chinchwad,mr,non_reader,8,11,464.2,38979.9,34672.47,26724.01,12255.89,4307.43,12.42
COL2198,Munna Shaikh,Mumbai,mr,non_reader,11,8,197.5,119357.81,106194.08,117147.88,2209.93,13163.73,12.4
COL2199,Deepak Waghmare,Nagpur,mr,functional,28,7,260.7,32302.76,29400.87,32302.76,0.0,2901.89,9.87
COL2200,Ashok Waghmare,Mumbai,mr,functional,20,216,6373.8,832284.54,691063.12,652762.29,179522.25,141221.42,20.44
COL2201,Bhaskar Waghmare,Pune,mr,numerals_only,11,13,406.2,82763.4,69962.3,61574.38,21189.02,12801.1,18.3
COL2202,Rahul Nikam,Aurangabad,mr,numerals_only,15,23,712.2,84918.68,73411.36,77477.75,7440.93,11507.32,15.68
COL2203,Sagar Sonawane,Pimpri-Chinchwad,hi,numerals_only,28,6,138.3,32767.68,29563.54,17376.61,15391.07,3204.14,10.84
COL2204,Rahul Sawant,Pune,mr,numerals_only,19,29,830.4,79669.32,68518.43,57663.74,22005.58,11150.89,16.27
COL2205,Rakesh Mane,Pune,mr,functional,22,232,6872.2,821972.94,727671.68,651564.93,170408.01,94301.26,12.96
COL2206,Ashok Salunkhe,Mumbai,hi,functional,27,8,187.3,25637.77,20679.12,24376.87,1260.9,4958.65,23.98
COL2207,Ravi Pawar,Pune,other,numerals_only,12,35,1240.0,122356.46,108012.28,82721.26,39635.2,14344.18,13.28
COL2208,Salim Dhage,Pimpri-Chinchwad,hi,non_reader,26,53,1486.5,189443.44,168736.92,182232.21,7211.23,20706.52,12.27
