collector_id,display_name,preferred_language,home_city,operating_areas,device_tier,literacy_tier,active_days_per_month,joined_on,onboarded_by,pii_minimised
COL2018,Shabana Nikam,mr,Rajarhat,Rajarhat|Howrah,mid,non_reader,19,2025-10-30,peer_referral,True
COL2019,Arjun Mane,mr,Howrah,Howrah|Salt Lake (Bidhannagar),entry,functional,17,2026-03-08,recycler_referral,True
COL2020,Firoz Nikam,mr,Salt Lake (Bidhannagar),Salt Lake (Bidhannagar)|New Town,mid,numerals_only,11,2026-07-30,ngo_partner,True
COL2021,Rakesh Bansode,hi,New Town,New Town|Park Street,entry,numerals_only,24,2025-06-08,ngo_partner,True
COL2022,Sindhu More,other,Park Street,Park Street|Ballygunge,entry,functional,19,2026-02-15,field_camp,True
COL2023,Sunil Khan,mr,Ballygunge,Ballygunge|Gariahat,entry,numerals_only,18,2025-04-25,recycler_referral,True
COL2024,Rakesh Kumar,hi,Gariahat,Gariahat|Behala,mid,numerals_only,21,2025-05-03,field_camp,True
COL2025,Balu Jadhav,hi,Behala,Behala|Tollygunge,entry,non_reader,20,2025-09-14,field_camp,True
COL2026,Rekha Yadav,mr,Tollygunge,Tollygunge|Dum Dum,entry,numerals_only,17,2025-07-12,recycler_referral,True
COL2027,Vikas Sawant,hi,Dum Dum,Dum Dum|Rajarhat,entry,non_reader,14,2026-06-15,recycler_referral,True
COL2028,Prakash Nikam,other,Rajarhat,Rajarhat|Howrah,mid,numerals_only,15,2025-12-23,field_camp,True
COL2029,Nitin Bansode,mr,Howrah,Howrah|Salt Lake (Bidhannagar),entry,numerals_only,11,2026-01-11,recycler_referral,True
COL2030,Manoj Qureshi,mr,Salt Lake (Bidhannagar),Salt Lake (Bidhannagar)|New Town,entry,numerals_only,16,2025-11-05,peer_referral,True
COL2031,Sagar Waghmare,hi,New Town,New Town|Park Street,entry,non_reader,20,2025-10-23,field_camp,True
COL2032,Anita Yadav,hi,Park Street,Park Street|Ballygunge,entry,non_reader,25,2025-12-11,field_camp,True
COL2033,Sunil Bansode,mr,Ballygunge,Ballygunge|Gariahat,entry,numerals_only,25,2025-11-17,recycler_referral,True
COL2034,Dattatray Shinde,mr,Gariahat,Gariahat|Behala,entry,non_reader,18,2025-10-09,field_camp,True
COL2035,Manoj Khan,mr,Behala,Behala|Tollygunge,entry,numerals_only,18,2025-11-18,peer_referral,True
COL2036,Salim Tambe,hi,Tollygunge,Tollygunge|Dum Dum,entry,functional,12,2026-05-14,peer_referral,True
COL2037,Sanjay Sawant,mr,Dum Dum,Dum Dum|Rajarhat,entry,functional,28,2025-09-19,field_camp,True
COL2038,Sagar Lokhande,mr,Rajarhat,Rajarhat|Howrah,entry,non_reader,18,2026-04-20,field_camp,True
COL2039,Imran Pawar,mr,Howrah,Howrah|Salt Lake (Bidhannagar),entry,numerals_only,19,2026-04-17,peer_referral,True
COL2040,Sunil Ansari,other,Salt Lake (Bidhannagar),Salt Lake (Bidhannagar)|New Town,entry,numerals_only,21,2025-06-11,recycler_referral,True
COL2041,Firoz Deshmukh,other,New Town,New Town|Park Street,entry,functional,18,2025-10-26,field_camp,True
COL2042,Ujwala Rathod,hi,Park Street,Park Street|Ballygunge,entry,numerals_only,17,2025-08-04,peer_referral,True
COL2043,Munna More,mr,Ballygunge,Ballygunge|Gariahat,entry,functional,14,2026-02-13,field_camp,True
COL2044,Munna Chavan,hi,Gariahat,Gariahat|Behala,entry,functional,14,2025-10-05,recycler_referral,True
COL2045,Sanjay Ghorpade,hi,Behala,Behala|Tollygunge,mid,numerals_only,16,2026-06-24,field_camp,True
COL2046,Vaishali Shinde,mr,Tollygunge,Tollygunge|Dum Dum,entry,numerals_only,22,2025-03-20,peer_referral,True
COL2047,Sagar Nikam,mr,Dum Dum,Dum Dum|Rajarhat,entry,numerals_only,28,2025-09-03,peer_referral,True
COL2048,Sanjay Bhosale,mr,Rajarhat,Rajarhat|Howrah,entry,non_reader,22,2026-06-07,ngo_partner,True
COL2049,Deepak Gaikwad,other,Howrah,Howrah|Salt Lake (Bidhannagar),entry,functional,20,2026-02-17,peer_referral,True
COL2050,Suresh Salunkhe,mr,Salt Lake (Bidhannagar),Salt Lake (Bidhannagar)|New Town,entry,non_reader,26,2026-01-10,field_camp,True
COL2051,Firoz Rathod,mr,New Town,New Town|Park Street,entry,functional,23,2026-05-05,peer_referral,True
COL2052,Kavita Kamble,mr,Park Street,Park Street|Ballygunge,entry,numerals_only,18,2025-03-27,recycler_referral,True
COL2053,Rahul More,mr,Ballygunge,Ballygunge|Gariahat,entry,numerals_only,17,2025-06-30,peer_referral,True
COL2054,Bhaskar Jadhav,hi,Gariahat,Gariahat|Behala,entry,functional,12,2026-04-16,field_camp,True
COL2055,Imran Nikam,mr,Behala,Behala|Tollygunge,feature_android,functional,22,2026-07-07,field_camp,True
COL2056,Suresh Qureshi,mr,Tollygunge,Tollygunge|Dum Dum,entry,numerals_only,15,2025-05-31,recycler_referral,True
COL2057,Rakesh Bhosale,mr,Dum Dum,Dum Dum|Rajarhat,entry,functional,23,2026-07-24,ngo_partner,True
COL2058,Rakesh More,hi,Rajarhat,Rajarhat|Howrah,entry,non_reader,17,2025-08-28,field_camp,True
COL2059,Manoj Qureshi,hi,Howrah,Howrah|Salt Lake (Bidhannagar),entry,non_reader,15,2025-09-07,peer_referral,True
COL2060,Rukhsana Lokhande,other,Salt Lake (Bidhannagar),Salt Lake (Bidhannagar)|New Town,entry,numerals_only,12,2025-11-15,peer_referral,True
COL2061,Anita Ghorpade,mr,New Town,New Town|Park Street,entry,functional,15,2026-04-26,ngo_partner,True
COL2062,Sandeep Sawant,mr,Park Street,Park Street|Ballygunge,mid,functional,13,2025-11-20,field_camp,True
COL2063,Rahul Yadav,mr,Ballygunge,Ballygunge|Gariahat,entry,numerals_only,24,2025-09-11,recycler_referral,True
COL2064,Rakesh Dhage,mr,Gariahat,Gariahat|Behala,entry,non_reader,19,2026-01-10,recycler_referral,True
COL2065,Rahul Ingle,hi,Behala,Behala|Tollygunge,entry,functional,22,2025-07-27,field_camp,True
COL2066,Kavita Nikam,mr,Tollygunge,Tollygunge|Dum Dum,entry,non_reader,25,2025-03-10,peer_referral,True
COL2067,Nitin Ingle,mr,Dum Dum,Dum Dum|Rajarhat,mid,numerals_only,19,2025-08-07,field_camp,True
COL2068,Vikas Rathod,mr,Rajarhat,Rajarhat|Howrah,mid,numerals_only,20,2026-05-22,field_camp,True
COL2069,Salim Gaikwad,hi,Howrah,Howrah|Salt Lake (Bidhannagar),entry,numerals_only,10,2026-07-17,field_camp,True
COL2070,Laxmi Deshmukh,mr,Salt Lake (Bidhannagar),Salt Lake (Bidhannagar)|New Town,feature_android,numerals_only,17,2025-06-01,ngo_partner,True
COL2071,Tukaram More,hi,New Town,New Town|Park Street,entry,functional,26,2026-03-14,ngo_partner,True
COL2072,Rahul Gaikwad,hi,Park Street,Park Street|Ballygunge,mid,functional,23,2026-06-27,ngo_partner,True
COL2073,Sanjay Waghmare,mr,Ballygunge,Ballygunge|Gariahat,entry,non_reader,21,2025-12-27,field_camp,True
COL2074,Kailas Jadhav,mr,Gariahat,Gariahat|Behala,entry,non_reader,25,2026-07-23,peer_referral,True
COL2075,Sarika Jadhav,mr,Behala,Behala|Tollygunge,entry,non_reader,17,2025-08-23,ngo_partner,True
COL2076,Deepak Shaikh,hi,Tollygunge,Tollygunge|Dum Dum,entry,functional,23,2025-05-06,field_camp,True
COL2077,Ashok Pawar,hi,Dum Dum,Dum Dum|Rajarhat,entry,numerals_only,18,2025-05-26,ngo_partner,True
COL2078,Rakesh Qureshi,mr,Rajarhat,Rajarhat|Howrah,entry,functional,10,2026-06-14,field_camp,True
COL2079,Sunita Pawar,mr,Howrah,Howrah|Salt Lake (Bidhannagar),entry,numerals_only,23,2025-05-21,peer_referral,True
COL2080,Pandurang Dhage,other,Salt Lake (Bidhannagar),Salt Lake (Bidhannagar)|New Town,entry,non_reader,21,2026-02-25,ngo_partner,True
COL2081,Rahul Dhage,hi,New Town,New Town|Park Street,entry,non_reader,13,2025-09-30,peer_referral,True
COL2082,Sanjay Deshmukh,other,Park Street,Park Street|Ballygunge,entry,numerals_only,17,2025-09-24,field_camp,True
COL2083,Sarika Khan,mr,Ballygunge,Ballygunge|Gariahat,entry,functional,24,2025-04-07,peer_referral,True
COL2084,Kailas Shinde,hi,Gariahat,Gariahat|Behala,entry,numerals_only,21,2026-04-14,ngo_partner,True
COL2085,Pandurang Lokhande,mr,Behala,Behala|Tollygunge,entry,non_reader,20,2025-07-08,ngo_partner,True
COL2086,Prakash Ansari,mr,Tollygunge,Tollygunge|Dum Dum,entry,non_reader,17,2026-05-06,field_camp,True
COL2087,Manoj Gaikwad,mr,Dum Dum,Dum Dum|Rajarhat,entry,numerals_only,19,2025-12-22,field_camp,True
COL2088,Sunil Sonawane,other,Rajarhat,Rajarhat|Howrah,entry,numerals_only,20,2026-05-18,field_camp,True
COL2089,Vaishali Ansari,mr,Howrah,Howrah|Salt Lake (Bidhannagar),entry,functional,16,2025-07-04,field_camp,True
COL2090,Ramesh Shaikh,mr,Salt Lake (Bidhannagar),Salt Lake (Bidhannagar)|New Town,entry,numerals_only,27,2026-04-28,field_camp,True
COL2091,Prakash Salunkhe,mr,New Town,New Town|Park Street,entry,functional,17,2026-02-03,ngo_partner,True
COL2092,Rahul Salunkhe,mr,Park Street,Park Street|Ballygunge,entry,non_reader,26,2025-09-28,peer_referral,True
COL2093,Prakash Bansode,hi,Ballygunge,Ballygunge|Gariahat,entry,non_reader,21,2026-03-02,field_camp,True
COL2094,Prakash Shinde,hi,Gariahat,Gariahat|Behala,entry,functional,17,2026-06-15,recycler_referral,True
COL2095,Rakesh Ingle,mr,Behala,Behala|Tollygunge,entry,numerals_only,11,2025-03-15,peer_referral,True
COL2096,Sandeep Yadav,hi,Tollygunge,Tollygunge|Dum Dum,entry,functional,21,2026-07-08,ngo_partner,True
COL2097,Rahul Shinde,mr,Dum Dum,Dum Dum|Rajarhat,entry,numerals_only,14,2025-12-23,recycler_referral,True
COL2098,Rahul Kamble,mr,Rajarhat,Rajarhat|Howrah,entry,non_reader,23,2025-08-21,peer_referral,True
COL2099,Manoj Sonawane,mr,Howrah,Howrah|Salt Lake (Bidhannagar),entry,non_reader,19,2026-06-29,recycler_referral,True
COL2100,Pandurang Mane,mr,Salt Lake (Bidhannagar),Salt Lake (Bidhannagar)|New Town,mid,non_reader,24,2025-10-17,field_camp,True
COL2101,Vaishali Kamble,hi,New Town,New Town|Park Street,entry,numerals_only,28,2025-04-07,recycler_referral,True
COL2102,Prakash Mane,hi,Park Street,Park Street|Ballygunge,entry,functional,12,2025-03-11,recycler_referral,True
COL2103,Salim Salunkhe,other,Ballygunge,Ballygunge|Gariahat,entry,numerals_only,15,2026-05-25,recycler_referral,True
COL2104,Mahesh Sawant,hi,Gariahat,Gariahat|Behala,entry,numerals_only,21,2025-08-27,field_camp,True
COL2105,Ujwala Bansode,hi,Behala,Behala|Tollygunge,entry,numerals_only,19,2025-07-19,peer_referral,True
COL2106,Sarika Tambe,mr,Tollygunge,Tollygunge|Dum Dum,entry,numerals_only,19,2025-12-18,field_camp,True
COL2107,Tukaram Jadhav,other,Dum Dum,Dum Dum|Rajarhat,entry,functional,28,2025-05-05,peer_referral,True
COL2108,Bhaskar Nikam,mr,Rajarhat,Rajarhat|Howrah,entry,functional,16,2026-03-11,ngo_partner,True
COL2109,Bhaskar Shinde,other,Howrah,Howrah|Salt Lake (Bidhannagar),mid,numerals_only,26,2025-11-21,recycler_referral,True
COL2110,Shankar Bhosale,mr,Salt Lake (Bidhannagar),Salt Lake (Bidhannagar)|New Town,entry,non_reader,22,2026-01-16,field_camp,True
COL2111,Imran Lokhande,hi,New Town,New Town|Park Street,entry,functional,12,2025-05-11,ngo_partner,True
COL2112,Dattatray Kamble,hi,Park Street,Park Street|Ballygunge,mid,numerals_only,14,2025-10-10,field_camp,True
COL2113,Ravi Dhage,mr,Ballygunge,Ballygunge|Gariahat,entry,functional,17,2025-11-14,peer_referral,True
COL2114,Rahul Ansari,mr,Gariahat,Gariahat|Behala,entry,non_reader,17,2025-03-26,field_camp,True
COL2115,Tukaram Jadhav,mr,Behala,Behala|Tollygunge,entry,numerals_only,23,2025-11-10,ngo_partner,True
COL2116,Bhaskar More,hi,Tollygunge,Tollygunge|Dum Dum,entry,non_reader,22,2025-08-17,field_camp,True
COL2117,Tukaram Waghmare,hi,Dum Dum,Dum Dum|Rajarhat,entry,numerals_only,26,2026-03-21,recycler_referral,True
COL2118,Vikas Khan,mr,Rajarhat,Rajarhat|Howrah,entry,functional,17,2026-02-28,field_camp,True
COL2119,Salim Kamble,mr,Howrah,Howrah|Salt Lake (Bidhannagar),mid,functional,24,2026-04-10,field_camp,True
COL2120,Vikas Bansode,hi,Salt Lake (Bidhannagar),Salt Lake (Bidhannagar)|New Town,feature_android,non_reader,16,2026-01-28,field_camp,True
COL2121,Prakash Mane,mr,New Town,New Town|Park Street,mid,functional,16,2025-06-08,peer_referral,True
COL2122,Rakesh Pawar,mr,Park Street,Park Street|Ballygunge,entry,numerals_only,12,2026-04-23,ngo_partner,True
COL2123,Dattatray Jadhav,other,Ballygunge,Ballygunge|Gariahat,entry,non_reader,12,2026-07-19,peer_referral,True
COL2124,Ravi Yadav,mr,Gariahat,Gariahat|Behala,entry,functional,18,2026-03-03,field_camp,True
COL2125,Ganesh Mane,mr,Behala,Behala|Tollygunge,entry,functional,22,2026-06-12,recycler_referral,True
COL2126,Rakesh Gaikwad,mr,Tollygunge,Tollygunge|Dum Dum,mid,numerals_only,15,2025-11-21,peer_referral,True
COL2127,Dattatray Rathod,other,Dum Dum,Dum Dum|Rajarhat,entry,numerals_only,22,2025-12-18,peer_referral,True
COL2128,Ravi Ansari,mr,Rajarhat,Rajarhat|Howrah,feature_android,non_reader,9,2026-04-01,peer_referral,True
COL2129,Nanda Kumar,mr,Howrah,Howrah|Salt Lake (Bidhannagar),mid,numerals_only,27,2026-08-10,peer_referral,True
COL2130,Ramesh Deshmukh,hi,Salt Lake (Bidhannagar),Salt Lake (Bidhannagar)|New Town,entry,non_reader,25,2025-07-13,recycler_referral,True
COL2131,Sunil Lokhande,mr,New Town,New Town|Park Street,mid,non_reader,18,2025-05-13,peer_referral,True
COL2132,Mahesh Ingle,mr,Park Street,Park Street|Ballygunge,entry,functional,15,2025-04-10,recycler_referral,True
COL2133,Anita Ghorpade,mr,Ballygunge,Ballygunge|Gariahat,entry,numerals_only,13,2025-06-16,field_camp,True
COL2134,Ravi Tambe,hi,Gariahat,Gariahat|Behala,mid,numerals_only,19,2025-03-25,ngo_partner,True
COL2135,Sagar Tambe,hi,Behala,Behala|Tollygunge,mid,non_reader,17,2025-07-02,peer_referral,True
COL2136,Mahesh Shinde,hi,Tollygunge,Tollygunge|Dum Dum,entry,functional,11,2026-05-20,recycler_referral,True
COL2137,Rahul Salunkhe,mr,Dum Dum,Dum Dum|Rajarhat,mid,non_reader,5,2026-05-21,field_camp,True
COL2138,Nitin Dhage,hi,Rajarhat,Rajarhat|Howrah,entry,non_reader,19,2026-04-04,field_camp,True
COL2139,Arjun Deshmukh,mr,Howrah,Howrah|Salt Lake (Bidhannagar),entry,functional,14,2025-03-22,recycler_referral,True
COL2140,Sagar Sawant,mr,Salt Lake (Bidhannagar),Salt Lake (Bidhannagar)|New Town,entry,functional,14,2025-06-10,peer_referral,True
COL2141,Shankar Deshmukh,mr,New Town,New Town|Park Street,entry,functional,10,2025-08-27,field_camp,True
COL2142,Sindhu Mane,hi,Park Street,Park Street|Ballygunge,entry,functional,16,2026-03-22,recycler_referral,True
COL2143,Munna Shaikh,mr,Ballygunge,Ballygunge|Gariahat,mid,numerals_only,18,2026-04-06,field_camp,True
COL2144,Shabana Pawar,mr,Gariahat,Gariahat|Behala,mid,non_reader,18,2026-06-15,field_camp,True
COL2145,Nanda Sawant,hi,Behala,Behala|Tollygunge,entry,non_reader,10,2026-05-03,field_camp,True
COL2146,Ashok Salunkhe,mr,Tollygunge,Tollygunge|Dum Dum,entry,numerals_only,17,2026-02-11,peer_referral,True
COL2147,Bhaskar Rathod,hi,Dum Dum,Dum Dum|Rajarhat,entry,numerals_only,23,2026-04-05,recycler_referral,True
COL2148,Jyoti Kamble,mr,Rajarhat,Rajarhat|Howrah,entry,numerals_only,22,2026-07-27,peer_referral,True
COL2149,Mahesh Waghmare,mr,Howrah,Howrah|Salt Lake (Bidhannagar),mid,numerals_only,22,2026-06-23,field_camp,True
COL2150,Munna Khan,mr,Salt Lake (Bidhannagar),Salt Lake (Bidhannagar)|New Town,mid,numerals_only,20,2026-05-07,peer_referral,True
COL2151,Sindhu Khan,hi,New Town,New Town|Park Street,entry,numerals_only,24,2025-12-09,peer_referral,True
COL2152,Suresh Mane,hi,Park Street,Park Street|Ballygunge,entry,functional,18,2025-11-24,peer_referral,True
COL2153,Arjun Lokhande,mr,Ballygunge,Ballygunge|Gariahat,entry,functional,22,2026-06-10,field_camp,True
COL2154,Ramesh Pawar,mr,Gariahat,Gariahat|Behala,entry,numerals_only,27,2026-03-12,peer_referral,True
COL2155,Sindhu Ansari,hi,Behala,Behala|Tollygunge,entry,non_reader,24,2025-04-07,ngo_partner,True
COL2156,Jyoti Dhage,mr,Tollygunge,Tollygunge|Dum Dum,entry,non_reader,19,2025-06-16,recycler_referral,True
COL2157,Nitin Rathod,mr,Dum Dum,Dum Dum|Rajarhat,entry,numerals_only,15,2026-04-04,field_camp,True
COL2158,Rahul More,hi,Rajarhat,Rajarhat|Howrah,entry,non_reader,19,2026-01-26,peer_referral,True
COL2159,Shabana Gaikwad,hi,Howrah,Howrah|Salt Lake (Bidhannagar),entry,non_reader,24,2025-08-16,field_camp,True
COL2160,Deepak Salunkhe,mr,Salt Lake (Bidhannagar),Salt Lake (Bidhannagar)|New Town,entry,numerals_only,15,2025-06-12,field_camp,True
COL2161,Sarika Sawant,other,New Town,New Town|Park Street,entry,numerals_only,19,2025-06-10,peer_referral,True
COL2162,Rekha Rathod,mr,Park Street,Park Street|Ballygunge,mid,non_reader,28,2026-01-13,field_camp,True
COL2163,Sarika Shinde,mr,Ballygunge,Ballygunge|Gariahat,entry,numerals_only,24,2025-07-28,ngo_partner,True
COL2164,Sunita Kamble,other,Gariahat,Gariahat|Behala,feature_android,numerals_only,20,2025-11-01,field_camp,True
COL2165,Nitin Shinde,mr,Behala,Behala|Tollygunge,feature_android,numerals_only,14,2025-09-05,recycler_referral,True
COL2166,Rakesh Kamble,mr,Tollygunge,Tollygunge|Dum Dum,entry,numerals_only,20,2025-08-04,field_camp,True
COL2167,Arjun Shinde,hi,Dum Dum,Dum Dum|Rajarhat,entry,non_reader,18,2025-08-08,field_camp,True
COL2168,Manoj Lokhande,mr,Rajarhat,Rajarhat|Howrah,entry,numerals_only,18,2025-12-19,ngo_partner,True
COL2169,Suresh Waghmare,hi,Howrah,Howrah|Salt Lake (Bidhannagar),entry,numerals_only,21,2026-05-24,field_camp,True
COL2170,Vikas Lokhande,mr,Salt Lake (Bidhannagar),Salt Lake (Bidhannagar)|New Town,feature_android,numerals_only,28,2025-04-03,field_camp,True
COL2171,Firoz Tambe,hi,New Town,New Town|Park Street,entry,numerals_only,19,2025-11-05,ngo_partner,True
COL2172,Ravi Deshmukh,mr,Park Street,Park Street|Ballygunge,entry,numerals_only,20,2025-05-28,field_camp,True
COL2173,Vitthal Bhosale,hi,Ballygunge,Ballygunge|Gariahat,entry,numerals_only,25,2026-03-18,field_camp,True
COL2174,Nitin Lokhande,mr,Gariahat,Gariahat|Behala,mid,functional,18,2025-08-01,recycler_referral,True
COL2175,Kailas Qureshi,hi,Behala,Behala|Tollygunge,mid,numerals_only,28,2026-01-17,peer_referral,True
COL2176,Vitthal Mane,mr,Tollygunge,Tollygunge|Dum Dum,entry,numerals_only,22,2025-06-15,ngo_partner,True
COL2177,Rukhsana Nikam,mr,Dum Dum,Dum Dum|Rajarhat,mid,functional,20,2025-07-18,peer_referral,True
COL2178,Tukaram Gaikwad,mr,Rajarhat,Rajarhat|Howrah,mid,numerals_only,15,2025-07-28,field_camp,True
COL2179,Salim Dhage,other,Howrah,Howrah|Salt Lake (Bidhannagar),entry,numerals_only,16,2025-06-12,recycler_referral,True
COL2180,Salim Yadav,hi,Salt Lake (Bidhannagar),Salt Lake (Bidhannagar)|New Town,feature_android,non_reader,8,2025-10-10,field_camp,True
COL2181,Ramesh Yadav,mr,New Town,New Town|Park Street,entry,numerals_only,16,2025-05-12,peer_referral,True
COL2182,Bhaskar Tambe,mr,Park Street,Park Street|Ballygunge,mid,numerals_only,23,2025-06-23,field_camp,True
COL2183,Laxmi Pawar,mr,Ballygunge,Ballygunge|Gariahat,entry,functional,22,2026-03-25,peer_referral,True
COL2184,Anita Ingle,hi,Gariahat,Gariahat|Behala,feature_android,numerals_only,11,2025-03-26,peer_referral,True
COL2185,Tukaram Ansari,mr,Behala,Behala|Tollygunge,entry,functional,18,2026-06-24,field_camp,True
COL2186,Kailas Kamble,mr,Tollygunge,Tollygunge|Dum Dum,entry,numerals_only,19,2026-07-16,field_camp,True
COL2187,Mahesh Khan,mr,Dum Dum,Dum Dum|Rajarhat,entry,numerals_only,25,2026-02-11,field_camp,True
COL2188,Anita Mane,mr,Rajarhat,Rajarhat|Howrah,entry,numerals_only,15,2025-12-10,ngo_partner,True
COL2189,Salim Jadhav,hi,Howrah,Howrah|Salt Lake (Bidhannagar),entry,non_reader,20,2025-12-08,peer_referral,True
COL2190,Pandurang Pawar,mr,Salt Lake (Bidhannagar),Salt Lake (Bidhannagar)|New Town,mid,non_reader,14,2026-06-14,field_camp,True
COL2191,Rakesh Qureshi,mr,New Town,New Town|Park Street,entry,numerals_only,28,2025-09-02,field_camp,True
COL2192,Manoj Kamble,hi,Park Street,Park Street|Ballygunge,entry,numerals_only,26,2026-07-29,ngo_partner,True
COL2193,Tukaram Pawar,mr,Ballygunge,Ballygunge|Gariahat,entry,functional,20,2026-01-03,field_camp,True
COL2194,Mahesh Deshmukh,hi,Gariahat,Gariahat|Behala,entry,non_reader,22,2026-02-21,peer_referral,True
COL2195,Balu Nikam,mr,Behala,Behala|Tollygunge,entry,non_reader,24,2026-08-11,field_camp,True
COL2196,Ravi Gaikwad,other,Tollygunge,Tollygunge|Dum Dum,entry,numerals_only,23,2026-01-09,field_camp,True
COL2197,Shankar Shinde,mr,Dum Dum,Dum Dum|Rajarhat,entry,non_reader,8,2025-10-29,recycler_referral,True
COL2198,Munna Shaikh,mr,Rajarhat,Rajarhat|Howrah,entry,non_reader,11,2026-07-08,recycler_referral,True
COL2199,Deepak Waghmare,mr,Howrah,Howrah|Salt Lake (Bidhannagar),entry,functional,28,2025-06-25,field_camp,True
COL2200,Ashok Waghmare,mr,Salt Lake (Bidhannagar),Salt Lake (Bidhannagar)|New Town,entry,functional,20,2025-07-04,field_camp,True
COL2201,Bhaskar Waghmare,mr,New Town,New Town|Park Street,entry,numerals_only,11,2026-06-08,peer_referral,True
COL2202,Rahul Nikam,mr,Park Street,Park Street|Ballygunge,entry,numerals_only,15,2025-04-27,field_camp,True
COL2203,Sagar Sonawane,hi,Ballygunge,Ballygunge|Gariahat,entry,numerals_only,28,2026-05-03,peer_referral,True
COL2204,Rahul Sawant,mr,Gariahat,Gariahat|Behala,entry,numerals_only,19,2025-04-24,ngo_partner,True
COL2205,Rakesh Mane,mr,Behala,Behala|Tollygunge,entry,functional,22,2026-01-06,field_camp,True
COL2206,Ashok Salunkhe,hi,Tollygunge,Tollygunge|Dum Dum,feature_android,functional,27,2026-05-29,ngo_partner,True
COL2207,Ravi Pawar,other,Dum Dum,Dum Dum|Rajarhat,entry,numerals_only,12,2025-04-06,field_camp,True
COL2208,Salim Dhage,hi,Rajarhat,Rajarhat|Howrah,entry,non_reader,26,2025-07-12,recycler_referral,True
COL2209,Anita Jadhav,hi,Howrah,Howrah|Salt Lake (Bidhannagar),entry,functional,17,2025-06-11,field_camp,True
COL2210,Nitin Lokhande,mr,Salt Lake (Bidhannagar),Salt Lake (Bidhannagar)|New Town,entry,non_reader,13,2025-04-09,peer_referral,True
COL2211,Prakash Salunkhe,mr,New Town,New Town|Park Street,entry,numerals_only,24,2025-03-15,field_camp,True
COL2212,Deepak Lokhande,mr,Park Street,Park Street|Ballygunge,entry,non_reader,17,2025-04-10,recycler_referral,True
COL2213,Sarika Kamble,mr,Ballygunge,Ballygunge|Gariahat,entry,numerals_only,25,2026-06-09,peer_referral,True
COL2214,Nitin Mane,mr,Gariahat,Gariahat|Behala,entry,functional,18,2025-10-02,field_camp,True
COL2215,Ravi Tambe,mr,Behala,Behala|Tollygunge,entry,functional,27,2025-04-12,field_camp,True
COL2216,Sarika Gaikwad,mr,Tollygunge,Tollygunge|Dum Dum,entry,non_reader,15,2026-06-18,field_camp,True
COL2217,Munna Sawant,mr,Dum Dum,Dum Dum|Rajarhat,entry,numerals_only,20,2025-05-04,recycler_referral,True
COL2218,Dattatray Deshmukh,other,Rajarhat,Rajarhat|Howrah,entry,functional,23,2025-11-13,field_camp,True
COL2219,Kavita Ingle,hi,Howrah,Howrah|Salt Lake (Bidhannagar),entry,functional,25,2025-10-05,peer_referral,True
COL2220,Firoz Dhage,mr,Salt Lake (Bidhannagar),Salt Lake (Bidhannagar)|New Town,mid,numerals_only,13,2026-03-14,recycler_referral,True
